frame,reporte_medico
frame_0000,This is a colonoscopy frame from a patient with no polyps.
frame_0002,This is a colonoscopy frame from a patient with no polyps.
frame_0003,This is a colonoscopy frame from a patient with no polyps.
frame_0004,This is a colonoscopy frame from a patient with no polyps.
frame_0005,This is a colonoscopy frame from a patient with no polyps.
frame_0006,This is a colonoscopy frame from a patient with no polyps.
frame_0007,This is a colonoscopy frame from a patient with no polyps.
frame_0008,This is a colonoscopy frame from a patient with no polyps.
frame_0009,This is a colonoscopy frame from a patient with no polyps.
frame_0010,This is a colonoscopy frame from a patient with no polyps.
frame_0011,This is a colonoscopy frame from a patient with no polyps.
frame_0012,This is a colonoscopy frame from a patient with no polyps.
frame_0013,This is a colonoscopy frame from a patient with no polyps.
frame_0014,This is a colonoscopy frame from a patient with no polyps.
frame_0015,This is a colonoscopy frame from a patient with no polyps.
frame_0016,This is a colonoscopy frame from a patient with no polyps.
frame_0017,This is a colonoscopy frame from a patient with no polyps.
frame_0018,This is a colonoscopy frame from a patient with no polyps.
frame_0019,This is a colonoscopy frame from a patient with no polyps.
frame_0020,This is a colonoscopy frame from a patient with no polyps.
frame_0021,This is a colonoscopy frame from a patient with no polyps.
frame_0022,This is a colonoscopy frame from a patient with no polyps.
frame_0023,This is a colonoscopy frame from a patient with no polyps.
frame_0024,This is a colonoscopy frame from a patient with no polyps.
frame_0025,This is a colonoscopy frame from a patient with no polyps.
frame_0026,This is a colonoscopy frame from a patient with no polyps.
frame_0027,This is a colonoscopy frame from a patient with no polyps.
frame_0028,This is a colonoscopy frame from a patient with no polyps.
frame_0029,This is a colonoscopy frame from a patient with no polyps.
frame_0030,This is a colonoscopy frame from a patient with no polyps.
frame_0031,This is a colonoscopy frame from a patient with no polyps.
frame_0032,This is a colonoscopy frame from a patient with no polyps.
frame_0033,This is a colonoscopy frame from a patient with no polyps.
frame_0034,This is a colonoscopy frame from a patient with no polyps.
frame_0035,This is a colonoscopy frame from a patient with no polyps.
frame_0036,This is a colonoscopy frame from a patient with no polyps.
frame_0037,This is a colonoscopy frame from a patient with no polyps.
frame_0038,This is a colonoscopy frame from a patient with no polyps.
frame_0039,This is a colonoscopy frame from a patient with no polyps.
frame_0040,This is a colonoscopy frame from a patient with no polyps.
frame_0041,This is a colonoscopy frame from a patient with no polyps.
frame_0042,This is a colonoscopy frame from a patient with no polyps.
frame_0043,This is a colonoscopy frame from a patient with no polyps.
frame_0044,This is a colonoscopy frame from a patient with no polyps.
frame_0045,This is a colonoscopy frame from a patient with no polyps.
frame_0046,This is a colonoscopy frame from a patient with no polyps.
frame_0047,This is a colonoscopy frame from a patient with no polyps.
frame_0048,This is a colonoscopy frame from a patient with no polyps.
frame_0049,This is a colonoscopy frame from a patient with no polyps.
frame_0050,This is a colonoscopy frame from a patient with no polyps.
frame_0051,This is a colonoscopy frame from a patient with no polyps.
frame_0052,This is a colonoscopy frame from a patient with no polyps.
frame_0053,This is a colonoscopy frame from a patient with no polyps.
frame_0054,This is a colonoscopy frame from a patient with no polyps.
frame_0055,This is a colonoscopy frame from a patient with no polyps.
frame_0056,This is a colonoscopy frame from a patient with no polyps.
frame_0057,This is a colonoscopy frame from a patient with no polyps.
frame_0058,This is a colonoscopy frame from a patient with no polyps.
frame_0059,This is a colonoscopy frame from a patient with no polyps.
frame_0060,This is a colonoscopy frame from a patient with no polyps.
frame_0061,This is a colonoscopy frame from a patient with no polyps.
frame_0062,This is a colonoscopy frame from a patient with no polyps.
