frame,reporte_medico
frame_0000,This is a colonoscopy frame from a patient with a sessile adenoma polyp measuring 5 mm located in the rectum.
frame_0001,This is a colonoscopy frame from a patient with a sessile adenoma polyp measuring 5 mm located in the rectum.
frame_0002,This is a colonoscopy frame from a patient with a flat elevated mucosal adenoma polyp measuring 3 mm located in the transverse colon.
frame_0003,This is a colonoscopy frame from a patient with a flat elevated mucosal adenoma polyp measuring 3 mm located in the transverse colon.
frame_0004,This is a colonoscopy frame from a patient with a sessile adenoma polyp measuring 5 mm located in the rectum.
frame_0005,This is a colonoscopy frame from a patient with a flat elevated mucosal adenoma polyp measuring 3 mm located in the transverse colon.
frame_0006,This is a colonoscopy frame from a patient with a sessile adenoma polyp measuring 4 mm located in the rectum.
frame_0007,This is a colonoscopy frame from a patient with a flat elevated mucosal adenoma polyp measuring 3 mm located in the transverse colon.
frame_0008,This is a colonoscopy frame from a patient with a flat elevated mucosal adenoma polyp measuring 3 mm located in the transverse colon.
frame_0009,This is a colonoscopy frame from a patient with a flat elevated mucosal adenoma polyp measuring 3 mm located in the transverse colon.
frame_0010,This is a colonoscopy frame from a patient with a flat elevated mucosal adenoma polyp measuring 3 mm located in the transverse colon.
frame_0011,This is a colonoscopy frame from a patient with a flat elevated mucosal adenoma polyp measuring 3 mm located in the transverse colon.
frame_0012,This is a colonoscopy frame from a patient with a flat elevated mucosal adenoma polyp measuring 3 mm located in the transverse colon.
frame_0013,This is a colonoscopy frame from a patient with a flat elevated mucosal adenoma polyp measuring 3 mm located in the transverse colon.
frame_0014,This is a colonoscopy frame from a patient with a flat elevated mucosal adenoma polyp measuring 3 mm located in the transverse colon.
frame_0015,This is a colonoscopy frame from a patient with a flat elevated mucosal adenoma polyp measuring 3 mm located in the transverse colon.
frame_0016,This is a colonoscopy frame from a patient with no polyps.
frame_0017,This is a colonoscopy frame from a patient with a flat elevated mucosal adenoma polyp measuring 3 mm located in the transverse colon.
frame_0018,This is a colonoscopy frame from a patient with a flat elevated mucosal adenoma polyp measuring 3 mm located in the transverse colon.
frame_0019,This is a colonoscopy frame from a patient with no polyps.
frame_0020,This is a colonoscopy frame from a patient with no polyps.
frame_0021,This is a colonoscopy frame from a patient with a sessile adenoma polyp measuring 3 mm located in the transverse colon.
frame_0022,This is a colonoscopy frame from a patient with a flat elevated mucosal adenoma polyp measuring 3 mm located in the transverse colon.
frame_0023,This is a colonoscopy frame from a patient with a sessile adenoma polyp measuring 3 mm located in the transverse colon.
frame_0024,This is a colonoscopy frame from a patient with a sessile adenoma polyp measuring 3 mm located in the transverse colon.
frame_0025,This is a colonoscopy frame from a patient with a flat elevated mucosal adenoma polyp measuring 3 mm located in the transverse colon.
frame_0026,This is a colonoscopy frame from a patient with a flat elevated mucosal adenoma polyp measuring 3 mm located in the rectum.
frame_0027,This is a colonoscopy frame from a patient with a flat elevated mucosal adenoma polyp measuring 3 mm located in the transverse colon.
frame_0028,This is a colonoscopy frame from a patient with a sessile adenoma polyp measuring 3 mm located in the transverse colon.
frame_0029,This is a colonoscopy frame from a patient with a sessile adenoma polyp measuring 3 mm located in the transverse colon.
frame_0030,This is a colonoscopy frame from a patient with a flat elevated mucosal adenoma polyp measuring 3 mm located in the transverse colon.
frame_0031,This is a colonoscopy frame from a patient with a flat elevated mucosal adenoma polyp measuring 3 mm located in the transverse colon.
frame_0032,This is a colonoscopy frame from a patient with a sessile adenoma polyp measuring 3 mm located in the sigmoid colon.
frame_0033,This is a colonoscopy frame from a patient with a sessile adenoma polyp measuring 3 mm located in the rectum.
frame_0034,This is a colonoscopy frame from a patient with a sessile adenoma polyp measuring 3 mm located in the sigmoid colon.
frame_0035,This is a colonoscopy frame from a patient with a flat elevated mucosal adenoma polyp measuring 3 mm located in the transverse colon.
